Area Code,Area Code (M49),Area,Food Group Code,Food Group,Indicator Code,Indicator,Element Code,Element,Unit,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
"8","'028","Antigua and Barbuda","FG0","All food groups","4003","Energy supply","6128","Value","kcal/cap/d","2328.000000","2368.000000","2411.000000","2443.000000","2403.000000","2410.000000","2396.000000","2435.000000","2475.000000","2455.000000","2429.000000","2444.000000","2460.000000"
"8","'028","Antigua and Barbuda","FG0","All food groups","4004","Protein supply","6123","Value","g/cap/d","95.800000","92.000000","98.000000","91.000000","91.100000","92.700000","83.400000","94.800000","94.700000","92.800000","89.100000","94.900000","96.400000"
"8","'028","Antigua and Barbuda","FG0","All food groups","4005","Fat supply","6123","Value","g/cap/d","92.200000","92.300000","94.500000","94.500000","94.300000","94.400000","91.600000","93.100000","94.800000","92.400000","92.800000","97.300000","96.800000"
"8","'028","Antigua and Barbuda","FG0","All food groups","4006","Carbohydrate (available) supply","6123","Value","g/cap/d","252.500000","264.200000","260.900000","274.800000","265.800000","263.100000","274.400000","269.900000","273.300000","274.300000","275.200000","265.100000","265.500000"
"8","'028","Antigua and Barbuda","FG0","All food groups","4007","Dietary fibre supply","6123","Value","g/cap/d","22.600000","25.100000","33.400000","25.600000","25.500000","25.600000","25.200000","27.400000","29.000000","27.300000","23.000000","26.700000","26.300000"
"8","'028","Antigua and Barbuda","FG0","All food groups","4009","Calcium supply","6209","Value","mg/cap/d","666.000000","736.000000","790.000000","713.000000","708.000000","708.000000","685.000000","730.000000","751.000000","740.000000","665.000000","724.000000","695.000000"
"8","'028","Antigua and Barbuda","FG0","All food groups","4010","Iron supply","6209","Value","mg/cap/d","12.200000","12.800000","16.000000","12.900000","12.700000","12.900000","12.300000","14.100000","15.000000","14.200000","11.800000","14.400000","14.400000"
"8","'028","Antigua and Barbuda","FG0","All food groups","4015","Zinc supply","6209","Value","mg/cap/d","10.550000","10.510000","11.210000","10.500000","10.560000","10.590000","10.110000","10.850000","10.980000","10.690000","9.860000","10.900000","11.050000"
"8","'028","Antigua and Barbuda","FG0","All food groups","4011","Magnesium supply","6209","Value","mg/cap/d","328.000000","339.000000","399.000000","349.000000","346.000000","347.000000","340.000000","364.000000","374.000000","362.000000","335.000000","355.000000","357.000000"
"8","'028","Antigua and Barbuda","FG0","All food groups","4012","Phosphorus supply","6209","Value","mg/cap/d","1438.000000","1453.000000","1522.000000","1454.000000","1454.000000","1465.000000","1387.000000","1490.000000","1506.000000","1484.000000","1410.000000","1492.000000","1493.000000"
"8","'028","Antigua and Barbuda","FG0","All food groups","4013","Potassium supply","6209","Value","mg/cap/d","2794.000000","2935.000000","3451.000000","2996.000000","2995.000000","3015.000000","2851.000000","3170.000000","3238.000000","3093.000000","2736.000000","3052.000000","3086.000000"
"8","'028","Antigua and Barbuda","FG0","All food groups","4021","Thiamin supply","6209","Value","mg/cap/d","1.210000","1.250000","1.370000","1.260000","1.250000","1.250000","1.240000","1.290000","1.320000","1.280000","1.180000","1.300000","1.310000"
"8","'028","Antigua and Barbuda","FG0","All food groups","4022","Riboflavin supply","6209","Value","mg/cap/d","1.510000","1.590000","1.650000","1.670000","1.600000","1.610000","1.570000","1.650000","1.660000","1.700000","1.610000","1.740000","1.760000"
"8","'028","Antigua and Barbuda","FG0","All food groups","4029","Vitamin C supply","6209","Value","mg/cap/d","206.000000","195.000000","211.000000","201.000000","191.000000","193.000000","188.000000","198.000000","202.000000","207.000000","196.000000","202.000000","210.000000"
"8","'028","Antigua and Barbuda","FG0","All food groups","4017","Vitamin A supply (retinol equivalents)","6206","Value","μg/cap/d","775.000000","975.000000","1161.000000","1010.000000","1055.000000","1080.000000","991.000000","1119.000000","1171.000000","1098.000000","869.000000","1036.000000","1042.000000"
"8","'028","Antigua and Barbuda","FG0","All food groups","4018","Vitamin A supply (retinol activity equivalents)","6206","Value","μg/cap/d","572.000000","711.000000","824.000000","741.000000","788.000000","810.000000","742.000000","816.000000","851.000000","827.000000","695.000000","796.000000","801.000000"
"8","'028","Antigua and Barbuda","FG0","All food groups","4016","Copper supply","6209","Value","mg/cap/d","0.150000","0.150000","0.140000","0.140000","0.150000","0.140000","0.140000","0.130000","0.140000","0.140000","0.140000","0.140000","0.140000"
"8","'028","Antigua and Barbuda","FG0","All food groups","4037","Docosahexaenoic acid (DHA) supply","6123","Value","g/cap/d","0.320000","0.360000","0.380000","0.350000","0.350000","0.360000","0.350000","0.400000","0.390000","0.390000","0.390000","0.390000","0.390000"
